date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week
2024-03-23,1.6,-0.2941176470588235,0,-3.0,12,3.9066666666666654,2.08,49,0
2024-03-30,1.46,-0.0833333333333333,0,-1.0,13,1.7133333333333336,1.6,49,0
2023-10-28,4.62,-0.1527777777777778,0,-17.166666666666668,43,7.04,2.18,51,0
2023-11-04,15.38,-0.1639344262295081,0,18.33333333333333,44,7.393333333333333,4.62,51,0
2023-11-11,22.82,0.803921568627451,0,28.166666666666668,45,14.273333333333332,15.38,51,0
2023-11-18,23.62,0.0869565217391303,0,7.666666666666667,46,20.60666666666667,22.82,51,1
2023-11-25,38.45,0.1499999999999999,0,23.25,47,28.29666666666667,23.62,51,0
2023-12-02,5.58,0.2434782608695651,0,17.25,48,22.55,38.45,51,1
2023-12-09,35.16,0.0979020979020979,0,32.0,49,26.396666666666665,5.58,51,0
2023-12-16,190.34,0.4585987261146496,1,125.66666666666669,50,77.02666666666666,35.16,51,0
2023-12-23,273.27,0.8296943231441047,1,302.9166666666667,51,166.25666666666666,190.34,51,0
2023-12-30,99.3,0.7446300715990453,1,65.66666666666667,52,187.63666666666663,273.27,51,0
2024-01-06,347.31,-0.2640218878248974,1,-212.91666666666663,1,239.96,99.3,51,1
2024-01-13,386.44,-0.2695167286245353,1,-133.58333333333334,2,277.68333333333334,347.31,51,1
2024-01-27,10.74,-0.1147540983606557,0,-105.41666666666669,4,248.16333333333333,386.44,51,1
2024-02-03,14.94,-0.2962962962962963,0,-44.75,5,137.3733333333333,10.74,51,0
2024-02-10,45.12,-0.0578947368421052,0,13.166666666666666,6,23.6,14.94,51,0
2024-02-17,56.99,0.1284916201117318,0,17.25,7,39.016666666666666,45.12,51,0
2024-02-24,59.53,0.0297029702970297,0,6.833333333333333,8,53.88,56.99,51,0
2024-03-02,49.19,0.0336538461538462,0,-1.0833333333333333,9,55.23666666666666,59.53,51,1
2024-03-09,16.89,-0.0651162790697674,0,-31.75,10,41.87,49.19,51,0
2024-03-16,13.68,-0.208955223880597,0,-31.33333333333333,11,26.586666666666662,16.89,51,0
2024-03-23,6.62,-0.1132075471698113,0,-24.0,12,12.396666666666668,13.68,51,0
2024-03-30,41.51,-0.2127659574468084,0,-30.0,13,20.60333333333333,6.62,51,0
2023-10-28,11.32,0.1764705882352941,0,12.916666666666666,43,5.113333333333333,1.72,37,0
2023-11-04,21.96,1.0,0,13.416666666666666,44,11.666666666666666,11.32,37,0
2023-11-11,60.96,0.2250000000000001,0,20.916666666666668,45,31.413333333333338,21.96,37,0
2023-11-18,99.84,0.7959183673469388,0,54.91666666666666,46,60.92000000000001,60.96,37,1
2023-11-25,122.22,0.7386363636363635,0,61.333333333333336,47,94.34,99.84,37,0
2023-12-02,44.1,0.392156862745098,0,80.5,48,88.72000000000001,122.22,37,1
2023-12-09,29.1,0.4694835680751172,0,77.66666666666667,49,65.14,44.1,37,0
2023-12-16,175.36,0.2843450479233227,1,208.08333333333331,50,82.85333333333334,29.1,37,0
2023-12-23,26.02,0.8233830845771144,0,410.5,51,76.82666666666668,175.36,37,0
2023-12-30,658.01,0.4679399727148703,1,22.08333333333333,52,286.46333333333337,26.02,37,0
2024-01-06,928.89,-0.2760223048327137,1,-345.25,1,537.64,658.01,37,1
2024-01-13,863.66,-0.3517329910141207,1,-245.58333333333331,2,816.8533333333334,928.89,37,1
2024-01-27,32.88,-0.0064516129032258,0,-116.25,4,608.4766666666667,863.66,37,1
2024-02-03,15.45,-0.172077922077922,0,-62.16666666666666,5,303.9966666666667,32.88,37,0
2024-02-10,47.62,-0.3176470588235294,0,-38.333333333333336,6,31.983333333333373,15.45,37,0
2024-02-17,45.53,0.028735632183908,0,-1.4166666666666667,7,36.20000000000004,47.62,37,0
2024-02-24,58.87,-0.1061452513966481,0,-9.166666666666666,8,50.67333333333337,45.53,37,0
2024-03-02,38.18,0.0,0,-11.583333333333334,9,47.52666666666671,58.87,37,1
2024-03-09,13.63,-0.175,0,-37.583333333333336,10,36.89333333333337,38.18,37,0
2024-03-16,11.68,-0.2878787878787878,0,-26.666666666666668,11,21.163333333333373,13.63,37,0
2024-03-23,13.92,-0.1170212765957446,0,-3.0,12,13.076666666666704,11.68,37,0
2024-03-30,16.48,0.0602409638554217,0,5.0,13,14.026666666666706,13.92,37,0
2023-10-28,0.87,-0.3199999999999999,0,-3.083333333333333,43,2.8666666666666667,2.28,39,0
2023-11-04,2.06,0.2352941176470588,0,3.4166666666666665,44,1.7366666666666666,0.87,39,0
2023-11-11,30.72,0.2380952380952381,0,18.5,45,11.216666666666669,2.06,39,0
2023-11-18,46.87,1.1538461538461535,0,23.25,46,26.55,30.72,39,1
2023-11-25,87.05,0.3392857142857142,0,40.75,47,54.88,46.87,39,0
2023-12-02,16.88,0.7866666666666666,0,42.083333333333336,48,50.26666666666666,87.05,39,1
2023-12-09,36.72,0.2014925373134328,0,40.583333333333336,49,46.883333333333326,16.88,39,0
2023-12-16,127.14,0.484472049689441,1,136.0,50,60.24666666666667,36.72,39,0
2023-12-23,38.07,0.7907949790794979,0,231.58333333333331,51,67.31,127.14,39,0
2023-12-30,314.47,0.4906542056074767,1,72.08333333333333,52,159.89333333333337,38.07,39,0
2024-01-06,491.16,-0.1003134796238244,1,-77.5,1,281.2333333333333,314.47,39,1
2024-01-13,440.85,-0.0557491289198606,1,14.583333333333334,2,415.4933333333333,491.16,39,1
2024-01-27,174.58,0.1683168316831682,1,29.83333333333333,4,368.8633333333334,440.85,39,1
2024-02-03,120.41,0.0016949152542373,1,6.333333333333333,5,245.2800000000001,174.58,39,0
2024-02-10,42.92,0.0287648054145515,0,6.666666666666667,6,112.6366666666667,120.41,39,0
2024-02-17,100.77,0.0032894736842106,0,32.0,7,88.03333333333335,42.92,39,0
2024-02-24,38.7,0.0852459016393443,0,18.08333333333333,8,60.79666666666668,100.77,39,0
2024-03-02,29.66,-0.0347432024169184,0,-4.916666666666667,9,56.37666666666669,38.7,39,1
2024-03-09,199.78,-0.0250391236306729,1,-155.0,10,89.38000000000004,29.66,39,0
2024-03-16,188.23,-0.4269662921348315,1,-205.08333333333331,11,139.22333333333336,199.78,39,0
2024-03-23,210.23,-0.2549019607843137,1,-56.5,12,199.41333333333333,188.23,39,0
2024-03-30,21.41,-0.0827067669172932,0,-22.0,13,139.95666666666668,210.23,39,0
2023-10-28,0.95,0.75,0,-1.75,43,2.876666666666667,3.95,41,0
